ClientNum,billable,nonbillable,total,billable_ratio
CLT2421,3.5,0.0,3.5,100.0
CLT3937,335.25,1.0,336.25,99.7
CLT3822,1050.5,0.0,1050.5,100.0
CLT2051,117.41999999999996,0.0,117.41999999999996,100.0
CLT2028,82.75,0.0,82.75,100.0
CLT2952,1.25,0.0,1.25,100.0
CLT1862,51.199999999999996,0.0,51.199999999999996,100.0
CLT3578,70.5,0.0,70.5,100.0
CLT2958,6.75,0.0,6.75,100.0
CLT3559,2.85,0.0,2.85,100.0
CLT3681,55.5,0.0,55.5,100.0
CLT1477,209.4899999999999,0.0,209.4899999999999,100.0
CLT1521,16.85,0.0,16.85,100.0
CLT3820,36.75,0.0,36.75,100.0
CLT2769,24.5,0.0,24.5,100.0
CLT1356,404.83,0.0,404.83,100.0
CLT1847,104.75,0.0,104.75,100.0
CLT2783,27.75,0.0,27.75,100.0
CLT2070,9.950000000000001,0.0,9.950000000000001,100.0
CLT2665,14.85,0.0,14.85,100.0
CLT1374,9.299999999999999,0.0,9.299999999999999,100.0
CLT3755,42.350000000000016,0.0,42.350000000000016,100.0
CLT3117,14.75,0.0,14.75,100.0
CLT1315,308.5,0.0,308.5,100.0
